id;MAX;AVG
10866691;80;24
10866713;58;20
10866737;85;25
10866759;32;20
10866774;32;19
10866783;26;20
10866791;26;20
10866809;37;23
10866822;64;22
10866834;32;21
10866844;80;24
10866864;58;23
10866868;32;19
10866877;426;182
10866878;128;49
10866883;554;178
10866891;608;249
10866894;458;220
10866895;608;273
10866898;101;28
10866901;416;200
10866902;538;213
10866904;469;233
10866905;405;215
10867125;112;25
10867126;101;26
10867128;112;29
10867131;112;27
10867134;112;26
10867142;85;24
10867145;96;26
10867148;37;19
10867150;80;24
10867151;90;25
10867160;85;27
10867202;485;163
10867207;469;268
10867211;890;212
10867222;880;249
10867223;362;164
10867226;432;168
10867236;314;148
10867239;784;214
10867241;1344;326
10867246;1477;264
10867249;1045;248
10867259;693;188
10867260;917;230
10867263;698;186
10867268;352;154
10867270;645;207
10867275;890;250
10867284;416;174
10867287;613;238
10867289;320;129
10867290;752;404
10867295;1002;491
10867301;528;260
10867306;432;215
10867320;890;463
10867323;1109;506
10867332;1050;573
10867334;1392;554
10867344;1082;516
10867347;1034;564
10867352;1152;496
10867357;997;472
10867358;122;30
10867366;1146;530
10867374;890;420
10867378;794;427
10867383;1040;467
10867386;1082;495
10867388;1248;523
10867393;890;487
10867402;890;427
10867407;805;393
10867412;362;165
10867416;400;189
10867429;101;26
10867430;122;27
10867433;53;22
10867441;37;20
10867450;58;27
10867469;80;27
10867473;69;21
10867474;181;106
10867475;293;142
10867478;629;187
10867479;576;172
10867480;458;193
10867482;448;228
10867483;464;208
10867485;122;26
10867491;42;25
10867494;442;367
10867496;1328;538
10867498;917;495
10867499;986;461
10867500;922;492
10867502;960;545
10867503;1029;499
10867504;1354;550
10867505;1173;518
10867508;1045;527
10867510;1157;612
10867511;106;28
10867518;714;422
10867519;912;474
10867520;858;417
10867523;944;417
10867525;1050;477
10867526;832;424
10867527;949;410
10867529;1056;450
10867530;965;490
10867532;906;456
10867535;176;70
10867536;160;81
10867537;106;26
10867539;122;28
10867550;74;23
10867566;69;27
10867568;522;232
10867578;37;22
10867585;437;202
10867586;560;226
10867590;650;261
10867593;586;249
10867594;464;200
10867596;106;26
10867597;101;27
10867618;26;20
10867666;90;30
10867682;64;24
10867685;96;28
10867687;64;24
10867702;64;24
10867713;64;26
10867737;122;32
10867750;90;23
10867760;80;25
10867769;32;23
10867779;357;182
10867783;202;122
10867787;570;190
10867789;805;217
10867795;1221;237
10867797;490;183
10867798;901;207
10867799;613;210
10867803;544;194
10867804;506;193
10867807;1210;224
10867815;421;223
10867819;1088;498
10867821;1040;514
10867824;1125;550
10867826;986;458
10867829;986;496
10867832;1029;508
10867837;624;254
10867842;1072;543
10867844;1093;577
10867849;352;172
10867857;106;28
10867861;581;208
10867875;954;458
10867877;970;477
10867880;533;179
10867889;101;26
10867901;32;18
10867913;64;23
10867921;202;121
10867924;362;159
10867932;378;270
10867936;602;312
10867946;298;115
10867950;106;28
10867957;858;427
10867960;1184;564
10867962;1077;541
10867965;1002;516
10867974;1024;492
10867979;960;524
10867983;1130;576
10867987;1109;585
10867993;1098;536
10867994;976;479
10868001;1114;539
10868003;896;522
10868008;1200;571
10868013;490;217
10868014;458;213
10868018;949;457
10868019;960;460
10868020;901;433
10868021;938;438
10868022;1498;489
10868023;997;469
10868026;1104;494
10868028;1024;472
10868029;1157;458
10868031;848;432
10868032;992;464
10868033;1088;224
10868034;554;246
10868038;37;22
10868039;96;26
10868042;53;24
10868044;90;26
10868045;101;28
10868047;48;21
10868049;90;26
10868050;21;24
10868051;90;23
10868053;58;22
10868054;69;26
10868055;48;21
10868057;96;27
10868059;80;26
10868060;101;29
10868061;69;25
10868063;74;25
10868065;85;24
10868066;69;27
10868067;32;20
10868068;117;30
10868070;32;21
10868071;21;24
10868080;117;30
10868082;133;27
10868085;112;27
10868097;816;210
10868099;325;155
10868102;682;189
10868103;821;206
10868106;469;220
10868109;117;27
10868111;1152;543
10868112;1077;569
10868113;1077;532
10868116;1189;557
10868117;1040;518
10868122;1269;609
10868125;554;230
10868128;1072;493
10868129;992;472
10868135;981;448
10868138;1109;475
10868139;922;492
10868141;976;467
10868143;869;464
10868145;1125;492
10868147;1114;513
10868149;848;210
10868150;794;248
10868156;453;230
10868158;522;252
10868161;144;57
10868163;112;29
10868167;58;26
10868169;37;18
10868183;32;18
10868194;74;26
10868196;37;23
10868238;37;21
10868248;80;27
10868262;202;157
10868264;1829;306
10868266;581;156
10868269;992;227
10868273;602;175
10868280;389;179
10868284;672;206
10868289;896;318
10868294;640;297
10868295;96;28
10868298;96;27
10868300;101;41
10868302;330;146
10868305;565;278
10868306;448;222
10868307;117;29
10868312;1168;554
10868313;1178;579
10868317;858;491
10868319;1013;527
10868320;1120;595
10868325;1141;553
10868332;1258;444
10868334;965;443
10868335;1029;447
10868337;1029;517
10868338;1152;498
10868339;1072;480
10868342;773;416
10868344;1429;174
10868346;634;232
10868348;597;324
10868351;496;201
10868353;442;230
10868356;112;29
10868358;133;28
10868368;37;18
10868372;32;21
10868385;48;23
10868407;32;20
10868422;26;19
10868450;26;21
10868460;69;25
10868467;69;26
10868475;437;165
10868476;858;195
10868478;922;280
10868481;618;271
10868483;165;108
10868486;485;219
10868490;1072;502
10868492;1136;603
10868495;928;484
10868498;1168;584
10868500;1248;594
10868503;1093;544
10868506;1130;561
10868508;1141;601
10868514;112;27
10868515;117;28
10868534;32;20
10868538;53;25
10868544;26;20
10868556;85;25
10868561;80;28
10868566;96;27
10868570;90;26
10868574;85;26
10868578;90;27
10868583;85;29
10868588;37;20
10868593;85;27
10868596;26;21
10868601;53;20
10868605;85;21
10868609;32;22
10868612;170;124
10868614;1002;457
10868626;874;443
10868629;1104;425
10868634;906;421
10868647;1008;469
10868650;986;480
10868655;1152;477
10868659;1082;481
10868667;789;398
10868677;1002;468
10868681;117;27
10868684;112;29
10868696;357;295
10868699;960;451
10868704;1157;558
10868709;1029;537
10868723;986;487
10868725;1221;550
10868727;1157;573
10868728;1328;609
10868733;1088;548
10868737;1072;507
10868743;2741;504
10868748;106;29
10868751;117;27
10868754;112;26
10868772;32;19
10868786;85;26
10868790;85;26
10868803;256;179
10868806;336;163
10868810;517;227
10868813;704;321
10868824;784;390
10868832;666;222
10868834;634;194
10868842;1477;339
10868845;768;330
10868856;869;480
10868858;661;316
10868861;421;204
10868864;325;177
10868867;677;390
10868869;576;253
10868871;1632;426
10868873;213;103
10868876;106;28
10868879;106;27
10868880;1728;279
10868881;149;42
10868883;122;28
10868885;560;239
10868887;538;291
10868890;858;170
10868894;208;116
10868897;112;28
10868901;106;27
10868904;400;305
10868905;1173;238
10868908;133;41
10868909;506;167
10868913;709;330
10868918;725;296
10868922;432;221
10868928;629;277
10868930;592;247
10868932;112;26
10868934;106;27
10868936;117;28
10868937;117;29
10868940;544;230
10868944;448;227
10868945;741;262
10868950;405;206
10868952;410;215
10868954;496;254
10868956;138;29
10868960;122;29
10868962;106;28
10868968;42;23
10868972;69;22
10868976;74;20
10868983;42;20
10868987;48;24
10868997;106;30
10869000;64;24
10869003;26;20
10869006;74;23
10869010;106;27
10869027;128;30
10869035;101;32
10869043;101;26
10869047;90;22
10869048;37;22
10869051;96;26
10869052;96;27
10869054;96;28
10869055;74;25
10869056;58;24
10869058;112;30
10869060;37;22
10869061;37;22
10869063;85;23
10869065;32;23
10869066;32;24
10869067;21;19
10869068;32;19
10869069;32;20
10869070;64;24
10869072;74;25
10869073;32;19
10869075;64;20
10869091;53;17
10869105;37;20
10869110;42;19
10869118;26;16
10869126;74;24
10869130;48;20
10869138;112;27
10869139;58;21
10869154;21;18
10869159;26;17
10869177;58;20
10869179;64;20
10869194;778;234
10869195;464;181
10869197;634;202
10869199;112;45
10869200;101;26
10869203;1013;184
10869206;544;284
10869210;586;238
10869211;2138;270
10869213;1146;491
10869215;922;472
10869217;1066;481
10869222;1248;551
10869225;1269;563
10869256;533;192
10869264;106;27
10869269;32;22
10869271;378;265
10869274;976;495
10869276;1333;578
10869351;112;26
10869355;106;31
10869363;80;21
10869364;1957;511
10869367;458;172
10869372;480;174
10869376;752;159
10869380;298;145
10869383;805;242
10869386;816;321
10869389;442;224
10869393;666;279
10869400;186;126
10869405;117;29
10869408;106;27
10869410;112;28
10869712;122;27
10869714;101;26
10869716;112;26
10869720;122;29
10869722;122;27
10869726;32;21
10869728;218;136
10869729;416;170
10869730;1221;205
10869731;640;173
10869732;874;227
10869733;405;170
10869736;954;324
10869862;117;26
10869864;133;27
10869866;53;28
10869873;74;23
10869877;277;168
10869878;778;403
10869881;725;365
10869889;725;336
10869891;805;333
10869895;650;340
10869900;682;325
10869905;725;355
10869911;432;181
10869913;426;181
10869917;480;157
10869921;725;186
10869925;597;224
10869929;693;305
10869930;1461;463
10869935;848;422
10869939;885;423
10869944;986;428
10869945;1040;347
10869950;698;291
10869953;602;225
10869956;469;168
10869959;901;185
10869960;549;195
10869965;597;284
10869980;453;222
10869981;688;247
10869984;634;278
10869985;608;276
10869986;549;233
10869988;613;238
10869991;490;254
10869993;496;258
10869998;501;227
10870006;672;259
10870008;709;259
10870010;746;265
10870011;506;227
10870012;565;249
10870015;517;249
10870016;480;244
10870017;560;239
10870018;586;226
10870021;592;235
10871723;101;26
10871724;101;26
10871725;122;27
10871726;53;22
10871727;106;51
10871732;581;182
10871733;432;190
10871736;261;115
10871739;234;163
10871751;389;184
10871755;757;302
10871758;565;267
10871761;730;386
10871766;613;336
10871770;965;338
10871775;581;224
10871777;469;208
10871781;501;232
10871783;629;274
10871790;112;29
10871793;330;117
10871794;394;187
10871796;320;160
10871882;106;26
10871887;112;27
10871889;112;28
10871891;106;27
10871892;90;25
10871902;42;20
10871903;48;20
10871906;26;22
10871907;250;161
10871912;490;161
10871913;1445;286
10871916;373;169
10871917;1584;243
10871919;277;127
10871922;490;290
10871927;1045;489
10871929;1125;500
10871933;1013;545
10871935;1216;520
10871936;1098;482
10871938;341;249
10871940;101;28
10871942;117;30
10871944;117;29
10871946;1066;432
10871948;949;457
10871951;1194;471
10871952;821;428
10871954;922;432
10871956;1077;462
10871957;1018;478
10871965;112;26
10871967;128;28
10871971;122;51
10871977;112;27
10871978;128;28
10871979;181;130
10871983;362;131
10871986;325;122
10871989;714;243
10871992;277;199
10871997;421;202
10872001;1013;482
10872003;992;451
10872008;981;443
10872019;992;549
10872026;992;526
10872029;1114;542
10872030;714;310
10872032;101;29
10872035;394;351
10872037;1050;503
10872040;922;410
10872065;112;27
10872068;106;27
10872070;112;27
10872077;64;26
10872082;32;22
10872087;42;22
10872088;21;17
10872091;32;18
10872092;69;22
10872105;672;172
10872106;954;182
10872108;346;144
10872112;725;239
10872123;1029;530
10872132;1088;553
10872137;1146;546
10872139;1173;506
10872142;1061;501
10872146;112;28
10872164;298;226
10872166;901;452
10872168;885;423
10872174;848;429
10872178;1024;446
10872180;784;390
10872184;1045;437
10872190;416;162
10872195;138;44
10872200;565;293
10872205;496;226
10872206;522;215
10872208;656;253
10872209;528;221
10872213;437;201
10872216;106;27
10872218;96;26
10872220;122;27
10872222;117;28
10872234;21;17
10872242;96;26
10872254;74;24
10872272;26;17
10872280;37;19
10872289;37;20
10872292;69;22
10872299;32;19
10872306;53;22
10872310;208;123
10872313;384;155
10872315;960;214
10872317;800;194
10872318;570;179
10872322;1029;200
10872327;496;145
10872330;485;154
10872333;474;138
10872337;394;165
10872341;501;237
10872345;432;182
10872348;816;354
10872352;256;156
10872353;416;198
10872357;1050;473
10872361;1002;455
10872362;1066;481
10872365;1029;504
10872367;1072;598
10872368;1109;594
10872370;1162;575
10872372;1280;545
10872376;976;486
10872377;1088;471
10872378;992;468
10872381;976;460
10872382;1104;528
10872385;1221;603
10872387;1162;602
10872389;106;29
10872402;810;234
10872406;1130;485
10872409;1152;457
10872413;981;454
10872422;912;420
10872426;1173;446
10872429;869;449
10872431;1093;499
10872434;970;458
10872440;960;466
10872448;752;395
10872452;720;331
10872457;522;175
10872464;490;242
10872469;469;205
10872472;1013;192
10872473;522;230
10872474;405;214
10872475;560;249
10872477;512;242
10872482;96;26
10872486;106;27
10872491;128;29
10872495;112;28
10872513;53;21
10872517;37;21
10872545;80;28
10872556;85;26
10872578;96;27
10872600;58;22
10872611;26;18
10872619;90;24
10872625;101;27
10872632;37;19
10872641;69;23
10872648;37;22
10872659;58;23
10872660;112;28
10872661;64;24
10872664;1152;254
10872666;357;190
10872668;1093;573
10872673;1061;525
10872675;960;495
10872677;1072;576
10872679;117;28
10872684;42;20
10872692;69;28
10872702;501;403
10872704;912;448
10872706;1018;415
10872712;986;466
10872714;976;430
10872718;714;357
10872721;757;387
10872723;378;162
10872727;1024;431
10872729;944;435
10872733;1018;467
10872737;970;165
10872740;117;28
10872742;117;26
10872748;133;99
10872752;677;382
10872754;154;88
10872756;464;223
10872759;544;206
10872766;874;496
10872772;1237;555
10872776;1216;567
10872778;1232;550
10872785;1082;501
10872790;1024;499
10872792;1109;541
10872796;1408;553
10872799;1344;575
10872802;1136;534
10872805;112;27
10872807;106;28
10872809;197;159
10872810;816;332
10872812;1002;424
10872814;1104;491
10872816;1018;482
10872817;928;429
10872818;901;434
10872820;1077;443
10872822;741;371
10872824;506;146
10872826;458;228
10872829;485;242
10872831;490;209
10872833;122;28
10872835;112;25
10872836;101;26
10872837;1365;266
10872838;693;188
10872843;650;190
10872846;1088;206
10872849;448;177
10872851;624;182
10872853;314;145
10872855;368;180
10872859;384;185
10872860;202;120
10872861;122;28
10872863;106;28
10872865;96;26
10872866;501;217
10872868;1061;531
10872869;1008;501
10872874;1018;508
10872876;1189;564
10872879;1088;518
10872890;106;26
10872891;122;28
10872893;117;26
10872896;112;27
10872897;101;26
10872899;128;28
10872902;106;28
10872903;106;29
10872907;37;24
10872913;122;68
10872915;192;136
10872919;602;290
10872923;288;126
10872925;506;162
10872927;826;211
10872931;346;169
10872938;613;266
10872940;624;290
10872945;773;383
10872947;896;381
10872949;1088;451
10872952;901;443
10872955;880;429
10872957;746;321
10872961;842;309
10872966;986;207
10872970;554;209
10872976;602;229
10872978;768;252
10872982;949;291
10872986;1002;449
10872988;816;382
10872993;368;138
10872997;522;239
10873002;506;273
10873004;378;160
10873006;416;171
10873011;373;177
10873015;394;152
10873020;480;221
10873024;624;268
10873025;672;237
10873029;570;259
10873034;666;268
10873038;506;260
10873041;426;209
10873044;501;256
10873049;522;226
10873052;490;243
10873056;506;211
10873059;106;29
10873061;517;155
10873063;784;185
10873066;1061;228
10873069;352;162
10873076;400;185
10873083;992;515
10873085;1114;542
10873088;992;533
10873090;997;513
10873095;1066;571
10873099;1109;517
10873101;1082;495
10873106;976;523
10873107;1045;584
10873113;1146;588
10873116;1370;603
10873122;1173;547
10873125;1216;498
10873130;1098;509
10873136;149;63
10873141;122;26
10873144;133;29
10873154;320;240
10873157;181;125
10873160;117;27
10873165;128;28
10873169;117;28
10873173;122;26
10873181;32;19
10873188;74;26
10873196;32;21
10873204;80;25
10873212;69;25
10873221;58;25
10873229;21;21
10873237;90;25
10873243;80;29
10873251;85;20
10873255;64;20
10873258;53;30
10873260;37;22
10873262;464;280
10873266;645;315
10873269;741;352
10873270;192;122
10873273;96;27
10873275;282;128
10873276;736;268
10873280;837;285
10873286;752;390
10873301;773;301
10873306;384;151
10873308;752;232
10873311;725;327
10873315;858;418
10873320;896;376
10873329;464;188
10873331;437;173
10873334;618;295
10873339;117;27
10873341;117;29
10873347;90;30
10873349;224;140
10873353;773;235
10873365;1114;522
10873367;1040;543
10873371;1109;488
10873375;928;468
10873378;917;510
10873381;1034;532
10873386;1114;568
10873391;912;474
10873394;373;167
10873398;106;26
10873401;106;27
10873404;192;148
10873406;864;356
10873409;912;440
10873420;938;458
10873425;1248;487
10873427;1008;474
10873431;906;448
10873434;890;437
10873438;880;447
10873444;480;180
10873448;480;253
10873456;650;282
10873457;549;282
10873460;560;229
10873463;821;275
10873465;2266;593
10873471;117;28
10873474;106;28
10873478;112;24
10873491;58;23
10873501;101;26
10873509;80;28
10873511;80;22
10873514;69;23
10873517;53;24
10873520;90;30
10873521;37;20
10873523;37;20
10873524;48;21
10873525;32;22
10873527;42;20
10873529;37;20
10873532;74;25
10873533;48;25
10873538;32;24
10873547;32;20
10873548;1013;230
10873549;768;232
10873550;896;251
10873552;426;183
10873553;517;269
10873558;1280;575
10873559;1077;591
10873563;912;458
10873565;1045;477
10873569;970;543
10873571;1242;565
10873574;1093;529
10873580;1013;512
10873582;970;512
10873584;997;531
10873587;1072;524
10873592;1184;567
10873594;1173;575
10873598;186;123
10873601;112;27
10873603;96;32
10873610;106;27
10873622;32;22
10873632;53;20
10873636;26;24
10873641;634;189
10873645;858;160
10873660;826;395
10873666;853;436
10873669;938;428
10873673;842;404
10873678;805;399
10873680;976;429
10873682;858;315
10873686;938;306
10873690;464;149
10873696;501;170
10873698;1189;238
10873700;1450;257
10873701;1482;374
10873706;1024;468
10873707;885;478
10873712;645;318
10873713;485;227
10873718;410;165
10873725;432;206
10873731;512;252
10873734;597;305
10873738;672;274
10873741;645;304
10873744;624;287
10873748;666;299
10873751;565;234
10873753;597;258
10873757;506;261
10873762;106;26
10873768;58;27
10873782;53;25
10873800;64;25
10873820;192;125
10873824;752;228
10873825;901;233
10873839;453;186
10873844;576;230
10873855;629;329
10873861;122;52
10873866;117;29
10873869;101;26
10873873;106;27
10873921;101;29
10873930;85;28
10873941;101;28
10873947;96;26
10873958;74;29
10873976;48;24
10873983;112;31
10873988;69;28
10873993;26;20
10874012;32;21
10874025;80;23
10874032;85;23
10874039;90;28
10874046;69;24
10874071;74;27
10874079;261;165
10874084;560;240
10874088;618;298
10874092;512;208
10874096;432;227
10874100;538;222
10874102;1232;476
10874104;933;453
10874111;1104;569
10874117;1408;622
10874119;1141;616
10874122;1077;537
10874129;1178;476
10874134;1152;501
10874140;1034;505
10874145;965;500
10874147;1045;536
10874156;1066;527
10874160;1013;485
10874163;277;92
10874170;112;26
10874173;112;27
10874175;112;25
10874180;1173;475
10874184;837;407
10874187;944;418
10874189;986;441
10874192;1296;465
10874195;1056;434
10874201;928;449
10874204;933;460
10874208;1013;460
10874212;1125;471
10874216;1205;484
10874218;1109;504
10874221;586;263
10874226;277;121
10874234;485;245
10874236;506;222
10874238;496;213
10874246;650;278
10874251;549;257
10874253;565;271
10874255;597;248
10874263;480;243
10874264;602;274
10874269;474;214
10874271;565;247
10874273;512;231
10874278;666;277
10874280;650;247
10874282;272;184
10874283;112;28
10874286;106;25
10874293;26;17
10874296;74;24
10874299;26;20
10874303;80;28
10874306;85;25
10874310;69;25
10874314;106;26
10874321;85;26
10874328;122;29
10874331;42;22
10874334;32;22
10874337;32;21
10874346;48;23
10874347;26;21
10874362;26;19
10874367;933;245
10874369;426;185
10874370;794;222
10874371;773;234
10874372;544;227
10874373;581;209
10874374;506;190
10874377;32;19
10874383;80;23
10874395;90;26
10874402;202;130
10874404;2026;491
10874411;832;194
10874412;554;197
10874413;1285;279
10874414;384;176
10874416;1002;304
10874419;373;182
10874423;912;247
10874427;389;213
10874431;485;244
10874435;528;245
10874445;1024;501
10874449;981;496
10874455;1013;510
10874458;1013;529
10874464;1194;530
10874466;1114;517
10874469;1034;540
10874472;1098;571
10874475;1194;610
10874477;1189;561
10874480;1157;536
10874482;1082;519
10874486;970;486
10874490;656;296
10874495;106;28
10874497;112;29
10874499;154;69
10874503;800;375
10874508;810;434
10874513;1344;500
10874517;1093;517
10874520;1066;494
10874523;1162;461
10874527;912;446
10874530;853;443
10874533;885;408
10874537;842;395
10874542;704;375
10874544;677;312
10874546;602;308
10874553;218;101
10874558;613;202
10874563;437;236
10874565;533;256
10874569;437;214
10874571;485;213
10874576;474;246
10874579;597;254
10874585;485;235
10874590;474;216
10874595;560;239
10874600;586;258
10874603;565;273
10874610;858;255
10874620;522;242
10874628;506;227
10874631;704;279
10874633;512;243
10874636;656;259
10874638;592;245
10874641;933;210
10874646;746;213
10874649;1210;286
10874652;1322;245
10874655;666;228
10874656;602;218
10874660;554;187
10874661;528;206
10874664;154;91
10874668;112;24
10874672;106;27
10874676;69;23
10874682;85;29
10874687;69;24
10874690;101;28
10874694;80;24
10874698;32;19
10874709;48;23
10874718;53;22
10874720;26;25
10874723;48;21
10874729;32;22
10874737;357;182
10874741;629;242
10874746;864;242
10874755;720;186
10874758;976;226
10874762;896;189
10874765;624;223
10874770;954;214
10874778;597;197
10874781;880;264
10874784;501;229
10874792;746;343
10874794;874;446
10874798;832;383
10874801;842;477
10874802;816;475
10874807;869;507
10874809;938;517
10874818;1024;453
10874825;938;332
10874832;885;343
10874835;666;301
10874841;261;201
10874848;741;363
10874854;992;429
10874855;762;278
10874861;458;201
10874864;640;261
10874868;714;308
10874869;522;247
10874872;986;276
10874874;517;215
10874876;565;326
10874877;522;251
10874884;592;256
10874888;597;261
10874897;480;235
10874900;629;257
10874902;533;228
10874905;1008;226
10874906;522;193
10874908;384;160
10874909;389;194
10874911;1008;247
10874915;490;235
10874919;400;210
10874933;965;458
10874943;1066;562
10874946;1146;515
10874950;992;465
